Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
EL 031,Goatwood Dairy,Hoop Lane Farm,Hoop Lane,,Langton by Wragby,LN8 5QB,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Lindsey District,England
EL 032,Barfen Farm,Stain Lane,,,Withern,LN13 0PF,,,,,,,PP (Processing Plant),EPC (Packing Centre),,,,,,"Section: IX (PP), Section: X (EPC)",,,East Lindsey District,England
EL 033,Sukat Processing Ltd,Unit 2C,Heather Road,,Skegness,PE25 3SR,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Lindsey District,England
EL 035,Chucky Egg,,,,Skegness,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
EL 037,Smith Smokery,Nova Lodge,Sea Lane,Friskney,Boston,PE22 8SD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Lindsey District,England
EL 038,J & L Cooper,White House Farm,Somersby,,Spilsby,PE23 4NR,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Lindsey District,England
EL 039,First College,Seathorne School,Count Alan Road,,Skegness,PE25 1HB,,,MP (Meat Preparation Establishment),,,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VIII (PP)",,,East Lindsey District,England
EL 040,Praise the Lard,Unit 13,Thames Street,,Louth,LN11 7AD,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Lindsey District,England
UK/2/1192,B Jarnell & Son,Massingberd Arms Farm,,,Gunby,PE24 5EX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/2/1374,Mr N P Scaman,The Cottage Grange Farm,,Little Grimsby,Louth,LN11 0TZ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/2/1403,Tracey Stubbs,Barnby End,Main Street,,Gayton Le Marsh,LN13 0NW,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/3/046,Mr K Couling,Newhaven Poultry,Main Street,,Fulstow,LN11 0XG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/4/1392,Shane Hughes,Highfield House,Field Lane,,Friskney,PE22 8RL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/4/1395,A H Bell,High Toynton House,High Toynton,,Horncastle,LN9 6NL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/4/1431,John Roe,Shirewood House Farm,Wilksby,,Boston,PE22 7PB,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
UK/5/779,J M Walker,,St Michaels Road,,Wainfleet St Mary,PE24 4HB,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Lindsey District,England
EU 006,Mrs B Dijksterhuis,Kingsthorpe Farm,,,Polebrook,PE8 5QE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Northamptonshire District,England
EU 014,Neneview Dairy,Redlands Farm,West Street,,Stanwick,NN9 6QZ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Northamptonshire District,England
EY 001,Ship To Shore,Lancaster Road,,Carnaby,Bridlington,YO15 3QY,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 003,Taste O' The Sea,Langdales Wharf,South Cliff Road,,Bridlington,YO15 3AN,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 005,Mr A Helm (Fish Merchant),Lancaster Road,,Carnaby,Bridlington,YO15 3QY,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 013,St Helens Farm,Reangamoor Lane,,,Seaton Ross,YO42 4NP,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EY 015,Primepak Foods Ltd,The Embankment,Kelleythorpe,,Driffield,YO25 9DJ,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,East Riding of Yorkshire,England
EY 020,Lowna Goat Dairy,Ashford,,Raywell,Cottingham,HU16 5YL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EY 022,Sam Browne Foods Ltd,Unit 2 Kelleythorpe,,,Driffield,YO25 9DJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Riding of Yorkshire,England
EY 026,Malcolm Tyler Pies Ltd,1 Olinda Road,,,Bridlington,YO15 3EG,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,East Riding of Yorkshire,England
EY 029,A.Laverack and Sons,50 High Street,,,Holme on Spalding Moor,YO42 4EN,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)",,,East Riding of Yorkshire,England
EY 033,Mr Moos Ice Cream,Hornsea Road,Driffield,,Skipsea,YO25 8SY,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EY 035,Rose Cottage Foods Ltd,,,,Garton on the Wolds,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Riding of Yorkshire,England
EY 036,H Peck & Son,7 Wednesday Market,,,Beverley,HU17 0DG,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 037,Westfield Farm,,,,Driffield,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EY 038,Healan Ingredients Ltd,Sands Top,North Newbald,,East Riding of Yorkshire,YO43 4SW,,,,,,,,,,,,PP (Processing Plant),,Section: XIV (PP),,,East Riding of Yorkshire,England
EY 043,St. Quintin's Dairy,,Harpham,,East Riding,YO25 4QZ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EY 044,Baron Shellfish,Unit 6+7 Railway Arches,Station Avenue,,York,YO16 4LZ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 045,J.V. Ake t/a TG Warkup,Villa Mill,27 Beverley Road,,Beeford,YO25 8AD,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 046,Park Farm Eggs,Withernwick Road,,,Rise,HU11 5BL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 047,Independent Shellfishermans Co-operative (Bridlington) Ltd, South Pier,The Harbour,,Bridlington,YO15 3AN ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 050,Coastal Shellfish, South Pier,The Harbour,,Bridlington,YO15 3AN ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 051,Field Farm Eggs,Lower Mill Farm,,,South Newbald,YO43 4SU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 052,Bridlington Shellfish Company, South Pier,The Harbour,,Bridlington,YO15 3AN ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 054,K Fresh ,Carr Farm,,,Rimswell,HU19 6BZ,,,,,,,,"EPC (Packing Centre), PP (Processing Plant)",,,,,,"Section: X (EPC), Section: X (PP)",,,East Riding of Yorkshire,England
EY 056,Elliott Eggs Ltd,Manor House,Bewholme,,Driffield,YO25 8DX,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 058,Robert Lindley Ltd,,,,Driffield,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 059,Staal Smokehouse Ltd,The Cottage,Riston Grange,,Long Riston,HU11 5SA,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,East Riding of Yorkshire,England
EY 060,Stephen B. Wells Ltd,Burton Fleming Grange Farm,,,Driffield,YO25 3HP,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 061,Venture Seafoods,Wellington Way,Carnaby Industrial Estate,Carnaby,Bridlington,YO15 3QY,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 062,J A Carlile Farms t/a Brinkworth Eggs,Mile House Farm,Holme Road,,Market Weighton,YO43 3EU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 063,Broomfleet Barnyard,Rear of 1 Landing Lane,,,Broomfleet,HU15 1RT,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 064,K.B and A.Murr,Guilford House ,,,Seaton Ross,YO42 4LU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
EY 065,Scotts Wholesale Butchers,"Unit 8, Kelleythorpe Industrial Estate",,,Driffield,YO25 9DJ,,,,,,,,,,,,,,Section: 0 (CS),,,East Riding of Yorkshire,England
EY 066,Three Little Pigs,Kiplingcotes Farm,Fisher Street,Kiplingcotes,South Dalton,HU17 7PY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Riding of Yorkshire,England
EY 067,Wansford Trout Farm,Whinhill Lock House,Driffield Road,Wansford,Driffield,YO25 8JJ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 069,GWS Seafoods Ltd,Unit 3,Waxholme Trading Park,Waxholme,Withernsea,HU192BJ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,East Riding of Yorkshire,England
EY 072,Barefoot Biltong,,,,Bridlington,,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,East Riding of Yorkshire,England
EY 073,Foston Nurseries,Wold View,Foston on the Wolds,,Driffield,YO25 8BJ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Riding of Yorkshire,England
GO 007,Meadow Foods,Meadow Foods,Station Road,,Holme on Spalding Moor,YO43 4AN,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
HD 001,Chesnut Dairies,Stud Farm,Goxhill Lane,,Seaton,HU11 5RJ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Riding of Yorkshire,England
EQ 004,Kerry Foods (Burton) Ltd,76 Mosley Road,,,Burton upon Trent,DE14 1DR,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,East Staffordshire ,England
EQ 007,Veli's Kebabs,Anderstaff Industrial Estate,Hawkins Lane,,Burton upon Trent,DE14 1QH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,East Staffordshire ,England
EQ 016,Kerry Foods (Burton) Limited,76 Mosley Road,,,Burton upon Trent,DE14 1DR,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,East Staffordshire ,England
EQ 017,K&B Meats Ltd,Electric Street,,,Burton-on-Trent,DE14 1RQ,,,,PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: VI (PP)",,,East Staffordshire ,England
EQ 025,Central Production Unit,Burton Hospital NHS Trust,Queens Hospital,Belvedere Road,Burton upon Trent,DE13 0RB,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,East Staffordshire ,England
EQ 027,Field Farm Eggs Ltd,The Forge Poultry Farm ,Clay Mills,,Burton on Trent,DE13 0HL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Staffordshire ,England
EQ 029,Anslow Eggs LLP,Anslow,,,Burton on Trent,DE13 9QE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Staffordshire ,England
EQ 030,Tom Philly Free Range,Grange Farm Barns,Bromley Wood,,Abbots Bromley,WS15 3AL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Staffordshire ,England
EQ 031,Guernsleigh Cheese,Grange Farm,Manor Lane,,Upper Leigh,ST10 4SN,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Staffordshire ,England
EQ 032,Needwood Ice Cream Ltd,Coulters Hill Farm,Newborough,,Burton on Trent,DE13 8SJ,,,,,,,,PP (Processing Plant),,,,,,Section: X (PP),,,East Staffordshire ,England
EQ 033,Highfield Hens,Highfields House,Abbots Bromley,Rugeley,Rugeley,WS153DB,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,East Staffordshire ,England
EQ 035,Q-Mover,Rylance Farm,Walton Lane,,Barton-under-Needwood,DE138EJ,,,,,,,,,,,,,,Section: 0 (CS),,,East Staffordshire ,England
EQ 036,Dalton’s Dairy,Shawcroft Farm,Wootton,,Ashbourne,DE62GW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,East Staffordshire ,England
AJ 001 FE,Southern Head Fishing Company Ltd,Royal Parade ,,,Eastbourne,BN22 7LD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Eastbourne,England
AJ 002 D,Southern Head Fishing Company Ltd,Royal Parade ,,,Eastbourne,BN22 7LD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Eastbourne,England
AJ 004,Sussex Bacon Company Ltd,50-52 Hammonds Drive,,,Eastbourne,BN23 6PW,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Eastbourne,England
AJ 007,Mega Byte Catering,Unit 5 Commercial Mews North,45a Commercial Road,,Eastbourne,BN21 3XF,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Eastbourne,England
AJ 010,Camilleri Kitchen,Unit 7f Southbourne Business Park,Courtlands Road,,Eastbourne,BN22 8UY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Eastbourne,England
EK 005,The Goat Meat Company Ltd,54 Pantheon Road,Chandlers Ford,,Eastleigh,SO53 2NS,,,,,,,,,,,,,,Section: 0 (CS),,,Eastleigh,England
EK 007,Smith's Butchers,50 Market Street,,,Eastleigh,SO50 5RB,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment), MPLTTC (Meat Preparation (LTTC)), MMLTTC (Mince Meat (LTTC))",PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MM), Section: V (MP), Section: 0 (RW), Section: 0 (CS), Section: V (MPLTTC), Section: V (MMLTTC)",,,Eastleigh,England
EK 008,XPO Logistics,Boyatt Wood Industrial Estate,,,Eastleigh,SO50 4NT,,,,,,,,,,,,,,Section: 0 (CS),,,Eastleigh,England
EJ 008,North Lakes Foods,Gilwilly Industrial Estate,Gilwilly Road,,Penrith,CA11 9BL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Eden District,England
EJ 011,Burbush's Penrith Ltd,Gilwilly Industrial Estate,Gilwilly Road,,Penrith,CA11 9BL,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Eden District,England
EJ 017,Slacks of Cumbria,Newlands,,,Penrith,CA10 3SG,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Eden District,England
EJ 021,Bluefields Foods Ltd,Silver Band Store,Knock,,Appleby-In-Westmorland,CA16 6DL,,,,,,,,,,,,,,Section: 0 (RW),,,Eden District,England
EJ 026,Cragg and Cutriss,Silver Band Store,Knock,,Appleby-In-Westmorland,CA16 6DL,,,,,,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: 0 (CS), Section: IX (PP), Section: VIII (PP)",,,Eden District,England
EJ 029,Appleby Creamery Ltd,Crosscroft Industrial Estate,,,Appleby-In-Westmorland,CA16 6HX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Eden District,England
EJ 031,Lakes Free Range Egg Company,Stainton,,,Penrith,CA11 0ES,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 032,Goodlie Hill Farm,Great Asby,,,Appleby-in-Westmoorland,CA16 6ET,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 033,Bonnie Mount,Edenhall,,,Penrith,CA11 8SR,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 034,R Binks,Ross House,Penruddock,,Penrith,CA11 0QU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 035,D J A & A M Berry,Dallan Bank,Great Strickland,,Penrith,CA10 3DU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 036,Eggs of Ullswater,Bennet Head,Watermillock,,Penrith,CA11 0LT ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Eden District,England
EJ 040,Brougham Hall Foods Ltd,Scarfoot,Plumpton,,Penrith,CA11 9PF,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Eden District,England
EI 001 FE,Imperial Caviar UK,,,,Weybridge,,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Elmbridge,England
EI 002,Glorydale,18 Wintersells Road,,,West Byfleet,KT14 7LF,,,,,,,,,,,,,,Section: 0 (CS),,,Elmbridge,England
EI003,Orchard Farm Chilled Foods,Orchard Farm,Ockham Lane,,Cobham,KT11 1LP,,,,,,,,,,,,,,Section: 0 (CS),,,Elmbridge,England
EN 006,Arla Foods Plc,Oakthorpe Dairy,Chequers Way,,London,N13 6BU,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Enfield (London Borough) ,England
EN 009,Mrs Gill's Kitchen Limited,Hastingwood Trading Estate,35 Harbet Road,,London,N18 3HU,,,MM (Mince Meat Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MM), Section: VI (PP), Section: VIII (PP)",,,Enfield (London Borough) ,England
EN 010,Snowbird Foods Limited,Wharf Rd,,,Enfield ,EN3 4TD,,,MM (Mince Meat Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: VI (PP)",,,Enfield (London Borough) ,England
EN 011,Blue Star Foods of London Ltd,Landmark Commercial Centre,Unit 14-15,Commercial Road,London,N18 1UB,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Enfield (London Borough) ,England
EN 021,Tinseltown Caterers Ltd ,,,,Enfield ,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Enfield (London Borough) ,England
EN 023,OT Smoked Salmon Ltd,Unit 4 Enterprise Works ,89 Lockfield Avenue,,Enfield ,EN3 7PY,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Enfield (London Borough) ,England
EN 024,Hollyfield Farm Produce Limited,Chingside House,Hawley Road,,Enfield,N18 3QU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Enfield (London Borough) ,England
EN 025,Hoffmans Foods Ltd,Second Avenue,,,Enfield,N18 2PG,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Enfield (London Borough) ,England
EN 031,TMC Meats Limited,,,,London,,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,Enfield (London Borough) ,England
EN 033,E & B Meat Products Ltd,18 Stacey Avenue,,,London,N18 3PS,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Enfield (London Borough) ,England
EN 035,Shapla PrimeUK Limited,Unit 9K Kynoch Road,,,Edmonton,N18 3BD ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Enfield (London Borough) ,England
EN 038,Sova Food Wholesale Limited,Unit 3A ,Nobel Road,,London,N18 3BH,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Enfield (London Borough) ,England
EN 040,XPO Supply Chain UK Ltd,5 Solar Way,"Inniva Park, Mollison Avenue",Brimsdown,Enfield,EN3 7XY,,,,,,,,,,,,,,Section: 0 (CS),,,Enfield (London Borough) ,England
EN 041,Yadley Marketing Co Limited,Unit 1 & 2 Plaza Business Centre,Stockingswater Lane,,Enfield,EN37PH,,,,,,,,,,,,,,Section: 0 (RW),,,Enfield (London Borough) ,England
EN 042,Ovam Ltd,Unit 9,Kynoch Road,,London,N18 3BD,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Enfield (London Borough) ,England
EF 012,S.J Frederick & Sons,Temple Farm,Roydon,,Harlow,CM19 5LW,,,,,,,,,,,,,,Section: 0 (CS),,,Epping Forest District,England
EF 015,Quality & Excellence Family Butcher,12 Forest Drive,,Theydon Bois,Epping ,CM16 7EY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Epping Forest District,England
EF 016,Caribbean Taste,,,,Harlow,,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Epping Forest District,England
EF 017,Robins Pie and Mash,Unit E10,Seedbed Centre,Langston Road,Loughton,IG10 3TQ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Epping Forest District,England
EF 019,A White Transport,Unit 6,Asheton Farm,Tysea Hill,Stapleford Abbotts,RM4 1JU,,,,,,,,,,,,,,Section: 0 (CS),,,Epping Forest District,England
EF 020,K & P Fresh Foods Limited,43 The Broadway,,,Loughton,IG20 3SP,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Epping Forest District,England
EW 003,Spondon Cheese,Birkdale Close,,,Ilkeston,DE7 8YA,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Erewash ,England
EW 005,Tasty  Choice Foods Ltd,Unit 1 Erewash Court,Manners Avenue,,Ilkeston,DE7 8EF,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Erewash ,England
EW 006,Bluebell Dairy Limited,Brunswood Farm,Locko Road,,Dale Abbey,DE21 7BU,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Erewash ,England
ER 102,Isca Foods Ltd,The Alpha Centre,,,Exeter,EX2 7LH,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: V (MM), Section: V (MP), Section: VI (PP)",,,Exeter ,England
ER 104,Shaul Bakery,1 Marsh Green Road North,,,Exeter,EX2 8NY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Exeter ,England
FM 001,Vision Logistical Solutions Ltd,36 Brunel Way,,,Fareham,PO15 5SA,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 002,Lensing Nurseries Ltd,Unit 6,The I O Centre,,Fareham,PO15 5RU,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 007,Re Cavendish Ship Stores Ltd,42-43 Standard Way,,,Fareham,PO16 8XD,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 008,Supreme Food Service UK Ltd,5 Crompton Way,,,Fareham,PO15 5SP,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 009,Hungry Monsters Ltd,U5 Barrett Trading Estate,,,Segensworth West,PO15 5SL,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 010,Edwards Catering and Real Stocks Ltd,Abshot Country Club,Little Abshot Road,,Fareham,SO31 6XB,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Fareham,England
FM 011,Palmer Harvey McClane Ltd,3 Crompton Way,Segensworth West,,Fareham,PO15 5SS,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FM 6301,Polarkold Ltd,23 Brunel Way,,,Fareham,PO15 5SD,,,,,,,,,,,,,,Section: 0 (CS),,,Fareham,England
FE 002 ,March Cold Store,20-24 Marwick Road,,,March,PE15 8PW,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Fenland District,England
FE 007,Greencore Prepared Meals,Weasenham Lane,,,Wisbech,PE13 2RD,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,PP (Processing Plant),PP (Processing Plant),,,,PP (Processing Plant),PP (Processing Plant),"Section: IX (PP), Section: V (MP), Section: VI (PP), Section: X (PP), Section: XIV (PP), Section: XV (PP)",,,Fenland District,England
FE 010,Premier Foods,Lynn Road,,,Wisbech,PE13 3DG,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Fenland District,England
FE 011,March Foods Ltd,7 Martin Avenue,,,March,PE15 0AY,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Fenland District,England
FE 012,P.G. Amps,6 Anglia Way,,,Wisbech,PE13 2TY,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Fenland District,England
FE 015,Yearsley Group,Weasenham Lane,,,Wisbech,PE13 2RN,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Fenland District,England
FE 018,P J Butcher Ltd,Unit 33-41,Boleness Road,,Wisbech,PE13 2RB,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: IX (PP), Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Fenland District,England
FE 019,Partner Logistics Wisbech Ltd,101 Boleness Road,,,Wisbech,PE13 2XQ,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Fenland District,England
FE 020,The Fruitpig Company,Business Units 33-41,Boleness Road,,Wisbech,PE13 2RB,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Fenland District,England
FE 021,L & A.E Munns,Westmoor Farm,Honeysome Road,,Chatteris,PE16 6SD,,,,,,,,,,PP (Processing Plant),,,,Section: XII (PP),,,Fenland District,England
FE 022,Ice Fare Foods Limited,Roman Bank,,Newton,Wisbech,PE13 5ER,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Fenland District,England
FE 023,Nene Valley Foods,Unit 6,Anglia Way,,Wisbech,PE13 2TY,,,,,,,,,,,,,,Section: 0 (CS),,,Fenland District,England
FE 024,Clarence House Nurseries,72 Station Road,,,March,PE15 8NP,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: VI (PP), Section: IX (PP), Section: V (MM), Section: V (MP), Section: VIII (PP)",,,Fenland District,England
